doi	depth	finding	dichotomy_use	limitation
10.1038/309138a0	metadata	Historical proposal that a giant impact formed the hemispheric contrast.	Establishes the northern-impact hypothesis to test.	Title and bibliographic record checked; original argument still needs full-text review.
10.1029/gl015i003p00229	abstract	Tests whether an impactor population can account for the lowlands and other large basins.	Requires an impact origin to fit basin statistics as well as hemisphere shape.	Results depend on the adopted impactor size distribution and recognition of old basins.
10.1016/0019-1035(91)90221-e	abstract	Compares endogenous, single-impact and multiple-impact explanations against geological constraints.	Useful framework for asking which observations each mechanism actually explains.	A historical assessment predating modern gravity, radar and seismic datasets.
10.1146/annurev.earth.35.031306.140220	abstract	Reviews the geological, topographic and tectonic expressions of the dichotomy.	Separates formation of the contrast from subsequent modification of the boundary.	Review predates InSight; old model parameters require updating.
10.1038/nature07011	abstract	Removing the inferred Tharsis contribution reveals an elliptical boundary compatible with an oblique impact.	Tests northern-basin geometry using gravity and topography together.	The reconstructed ellipse depends on separating volcanic loading and crustal structure.
10.1038/nature07070	abstract	Three-dimensional impact simulations produce a large elliptical northern excavation within a restricted impact parameter range.	Supplies quantitative northern-impact initial conditions.	Success depends on material physics, melt treatment and the assumed initial crust.
10.1038/nature07025	abstract	Large-impact calculations explore crustal removal, melting and disruption as a route to the dichotomy.	Connects basin formation to crustal and magnetic consequences.	A simplified impact geometry cannot independently establish the actual impact trajectory.
10.1016/s0012-821x(01)00345-4	metadata	Proposes that mantle convection and the dichotomy are dynamically linked.	Foundational reference for degree-one convection.	Metadata and primary-source preview checked; detailed model assumptions remain to be extracted.
10.1029/2005je002668	abstract	Layered mantle viscosity permits degree-one convection to develop much faster than in some phase-change models.	Makes formation timescale and viscosity contrast explicit tests of an internal origin.	The appropriate early Martian rheology is uncertain; a simulated pattern is not an observation.
10.1016/j.epsl.2018.03.031	metadata	Studies a hybrid impact-driven degree-one convection scenario.	Prevents treating impacts and convection as mutually exclusive explanations.	Bibliographic record and primary preview checked; quantitative outcomes require full-text extraction.
